Run,blank_id
1,1_blank
2,2_blank
3,2_blank
4,4_blank
5,4_blank
6,4_blank
7,7_blank
8,7_blank
9,7_blank
10,11_blank
11,11_blank
12,11_blank
13,14_blank
14,14_blank
15,14_blank
16,17_blank
17,17_blank
18,17_blank
19,21_blank
20,21_blank
21,21_blank
