"","Species","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h","timepoint"
"52","Diploria labyrinthiformis","Dlab-A6","289",17,0.000807701065157297,2.90772383456627,"timepoint1"
"53","Diploria labyrinthiformis","Dlab-A6","32",17,0.000105629464108393,0.380266070790215,"timepoint1"
"54","Diploria labyrinthiformis","Dlab-A6","341",17,0.000855098962140755,3.07835626370672,"timepoint1"
"55","Diploria labyrinthiformis","Dlab-A6","413",17,0.000822397954058335,2.96063263461,"timepoint1"
"56","Diploria labyrinthiformis","Dlab-A6","517",17,0.000890144588004975,3.20452051681791,"timepoint1"
"57","Diploria labyrinthiformis","Dlab-A7","0",19,-0.000756892593900608,-2.72481333804219,"timepoint1"
"58","Diploria labyrinthiformis","Dlab-A7","124",19,-0.00039295347947728,-1.41463252611821,"timepoint1"
"59","Diploria labyrinthiformis","Dlab-A7","165",19,-0.000424784313598264,-1.52922352895375,"timepoint1"
"60","Diploria labyrinthiformis","Dlab-A7","233",19,-0.000436508127058488,-1.57142925741056,"timepoint1"
"61","Diploria labyrinthiformis","Dlab-A7","289",19,-0.00041119914823201,-1.48031693363524,"timepoint1"
"62","Diploria labyrinthiformis","Dlab-A7","32",19,-0.000596346426880057,-2.1468471367682,"timepoint1"
"63","Diploria labyrinthiformis","Dlab-A7","341",19,-0.000379476406569726,-1.36611506365101,"timepoint1"
"64","Diploria labyrinthiformis","Dlab-A7","413",19,-0.000378859745041067,-1.36389508214784,"timepoint1"
"65","Diploria labyrinthiformis","Dlab-A7","517",19,-0.000302454378839724,-1.08883576382301,"timepoint1"
"66","Diploria labyrinthiformis","Dlab-B1","0",1,-0.00027127309286785,-0.976583134324258,"timepoint1"
"67","Diploria labyrinthiformis","Dlab-B1","143",1,0.000191824881138136,0.690569572097288,"timepoint1"
"68","Diploria labyrinthiformis","Dlab-B1","188",1,0.000285396679647069,1.02742804672945,"timepoint1"
"69","Diploria labyrinthiformis","Dlab-B1","230",1,0.000334154195717006,1.20295510458122,"timepoint1"
"70","Diploria labyrinthiformis","Dlab-B1","270",1,0.000369932746064704,1.33175788583294,"timepoint1"
"71","Diploria labyrinthiformis","Dlab-B1","307",1,0.000398440165743744,1.43438459667748,"timepoint1"
"72","Diploria labyrinthiformis","Dlab-B1","336",1,0.000412958029586767,1.48664890651236,"timepoint1"
"73","Diploria labyrinthiformis","Dlab-B1","360",1,0.000437295619708564,1.57426423095083,"timepoint1"
"74","Diploria labyrinthiformis","Dlab-B1","37",1,-0.000141413878057257,-0.509089961006126,"timepoint1"
"75","Diploria labyrinthiformis","Dlab-B1","384",1,0.000436086080017717,1.56990988806378,"timepoint1"
"76","Diploria labyrinthiformis","Dlab-B1","505",1,0.000484706233986823,1.74494244235256,"timepoint1"
"77","Diploria labyrinthiformis","Dlab-B2","0",4,-0.000642279250644538,-2.31220530232034,"timepoint1"
"78","Diploria labyrinthiformis","Dlab-B2","124",4,-0.000162748278598967,-0.58589380295628,"timepoint1"
"79","Diploria labyrinthiformis","Dlab-B2","165",4,-0.000144914388141074,-0.521691797307865,"timepoint1"
"80","Diploria labyrinthiformis","Dlab-B2","233",4,-0.000254465229592092,-0.91607482653153,"timepoint1"
"81","Diploria labyrinthiformis","Dlab-B2","289",4,-0.000149576816280824,-0.538476538610965,"timepoint1"
"82","Diploria labyrinthiformis","Dlab-B2","32",4,-0.000318438597296515,-1.14637895026745,"timepoint1"
"83","Diploria labyrinthiformis","Dlab-B2","341",4,-9.63256441473874e-05,-0.346772318930595,"timepoint1"
"84","Diploria labyrinthiformis","Dlab-B2","413",4,-8.57248730273469e-05,-0.308609542898449,"timepoint1"
"85","Diploria labyrinthiformis","Dlab-B2","517",4,-0.000104638774295178,-0.376699587462641,"timepoint1"
"86","Diploria labyrinthiformis","Dlab-B3","0",8,-0.000344287073643771,-1.23943346511758,"timepoint1"
"87","Diploria labyrinthiformis","Dlab-B3","124",8,2.18759990813466e-05,0.0787535966928477,"timepoint1"
"88","Diploria labyrinthiformis","Dlab-B3","165",8,0.000103258897144126,0.371732029718855,"timepoint1"
"89","Diploria labyrinthiformis","Dlab-B3","233",8,0.000211918974749812,0.762908309099323,"timepoint1"
"90","Diploria labyrinthiformis","Dlab-B3","289",8,0.000275826645079761,0.99297592228714,"timepoint1"
"91","Diploria labyrinthiformis","Dlab-B3","32",8,-0.000234997051086611,-0.8459893839118,"timepoint1"
"92","Diploria labyrinthiformis","Dlab-B3","341",8,0.000305165916888633,1.09859730079908,"timepoint1"
"93","Diploria labyrinthiformis","Dlab-B3","413",8,0.000344388091364605,1.23979712891258,"timepoint1"
"94","Diploria labyrinthiformis","Dlab-B3","517",8,0.00037740091846393,1.35864330647015,"timepoint1"
"95","Diploria labyrinthiformis","Dlab-B4","0",14,-0.000140852302928504,-0.507068290542614,"timepoint1"
"96","Diploria labyrinthiformis","Dlab-B4","124",14,0.000146499634019896,0.527398682471626,"timepoint1"
"97","Diploria labyrinthiformis","Dlab-B4","165",14,0.000213582863339705,0.768898308022939,"timepoint1"
"98","Diploria labyrinthiformis","Dlab-B4","233",14,0.000224803342765394,0.809292033955418,"timepoint1"
"99","Diploria labyrinthiformis","Dlab-B4","289",14,0.000210942611688398,0.759393402078233,"timepoint1"
"100","Diploria labyrinthiformis","Dlab-B4","32",14,-4.80648430856881e-05,-0.173033435108477,"timepoint1"
"101","Diploria labyrinthiformis","Dlab-B4","341",14,0.000200083676360294,0.720301234897059,"timepoint1"
"102","Diploria labyrinthiformis","Dlab-B4","413",14,0.000177022118982551,0.637279628337184,"timepoint1"
"103","Diploria labyrinthiformis","Dlab-B4","517",14,0.000173522824387843,0.624682167796236,"timepoint1"
"104","Diploria labyrinthiformis","Dlab-B5","0",10,-0.000245700412114248,-0.884521483611291,"timepoint1"
"105","Diploria labyrinthiformis","Dlab-B5","124",10,7.28744101445115e-05,0.262347876520242,"timepoint1"
"106","Diploria labyrinthiformis","Dlab-B5","165",10,0.000198995980586311,0.716385530110719,"timepoint1"
"107","Diploria labyrinthiformis","Dlab-B5","233",10,0.000260090791387371,0.936326848994536,"timepoint1"
"108","Diploria labyrinthiformis","Dlab-B5","289",10,0.000286681500994164,1.03205340357899,"timepoint1"
"109","Diploria labyrinthiformis","Dlab-B5","32",10,-0.000184133771113433,-0.662881576008359,"timepoint1"
"110","Diploria labyrinthiformis","Dlab-B5","341",10,0.000304910869365131,1.09767912971447,"timepoint1"
"111","Diploria labyrinthiformis","Dlab-B5","413",10,0.000315507413059881,1.13582668701557,"timepoint1"
"112","Diploria labyrinthiformis","Dlab-B5","517",10,0.000310912089251908,1.11928352130687,"timepoint1"
"113","Diploria labyrinthiformis","Dlab-B6","0",18,-0.000259964048240059,-0.935870573664211,"timepoint1"
"114","Diploria labyrinthiformis","Dlab-B6","124",18,0.000283387114073279,1.0201936106638,"timepoint1"
"115","Diploria labyrinthiformis","Dlab-B6","165",18,0.000427721112804712,1.53979600609696,"timepoint1"
"116","Diploria labyrinthiformis","Dlab-B6","233",18,0.000492865600716225,1.77431616257841,"timepoint1"
"117","Diploria labyrinthiformis","Dlab-B6","289",18,0.000511472800193212,1.84130208069556,"timepoint1"
"118","Diploria labyrinthiformis","Dlab-B6","32",18,-4.83344333058443e-05,-0.174003959901039,"timepoint1"
"119","Diploria labyrinthiformis","Dlab-B6","341",18,0.000563529949728431,2.02870781902235,"timepoint1"
"120","Diploria labyrinthiformis","Dlab-B6","413",18,0.000606767402469785,2.18436264889123,"timepoint1"
"121","Diploria labyrinthiformis","Dlab-B6","517",18,0.000514275571353125,1.85139205687125,"timepoint1"
"122","Diploria labyrinthiformis","Dlab-B7","0",19,-0.000608987701700523,-2.19235572612188,"timepoint1"
"123","Diploria labyrinthiformis","Dlab-B7","124",19,-0.000360176686039737,-1.29663606974305,"timepoint1"
"124","Diploria labyrinthiformis","Dlab-B7","165",19,-0.000322030201761173,-1.15930872634022,"timepoint1"
"125","Diploria labyrinthiformis","Dlab-B7","233",19,-0.000343709304565712,-1.23735349643656,"timepoint1"
"126","Diploria labyrinthiformis","Dlab-B7","289",19,-0.000289186215565452,-1.04107037603563,"timepoint1"
"127","Diploria labyrinthiformis","Dlab-B7","32",19,-0.00043033861438393,-1.54921901178215,"timepoint1"
"128","Diploria labyrinthiformis","Dlab-B7","341",19,-0.000275967807189198,-0.993484105881114,"timepoint1"
"129","Diploria labyrinthiformis","Dlab-B7","413",19,-0.000246380782075207,-0.886970815470744,"timepoint1"
"130","Diploria labyrinthiformis","Dlab-B7","517",19,-0.000231694788090886,-0.834101237127188,"timepoint1"
"131","Diploria labyrinthiformis","Dlab-C2","0",5,-0.000217405225634855,-0.782658812285479,"timepoint1"
"132","Diploria labyrinthiformis","Dlab-C2","124",5,-0.00014533986251798,-0.523223505064727,"timepoint1"
"133","Diploria labyrinthiformis","Dlab-C2","165",5,-0.000127973197351377,-0.460703510464959,"timepoint1"
"134","Diploria labyrinthiformis","Dlab-C2","233",5,-0.000181984676928204,-0.655144836941535,"timepoint1"
"135","Diploria labyrinthiformis","Dlab-C2","289",5,-0.000156521021139491,-0.563475676102167,"timepoint1"
"136","Diploria labyrinthiformis","Dlab-C2","32",5,-0.000143807739218288,-0.517707861185836,"timepoint1"
"137","Diploria labyrinthiformis","Dlab-C2","341",5,-0.000114291031106079,-0.411447711981883,"timepoint1"
"138","Diploria labyrinthiformis","Dlab-C2","413",5,-0.000116874595237486,-0.420748542854949,"timepoint1"
"139","Diploria labyrinthiformis","Dlab-C2","517",5,-0.000148727298182438,-0.535418273456778,"timepoint1"
"140","Diploria labyrinthiformis","Dlab-C3","0",9,-0.00034675602406914,-1.2483216866489,"timepoint1"
"141","Diploria labyrinthiformis","Dlab-C3","124",9,1.66336732316721e-05,0.0598812236340195,"timepoint1"
"142","Diploria labyrinthiformis","Dlab-C3","165",9,9.69173862500702e-05,0.348902590500253,"timepoint1"
"143","Diploria labyrinthiformis","Dlab-C3","233",9,0.000206036721288238,0.741732196637658,"timepoint1"
"144","Diploria labyrinthiformis","Dlab-C3","289",9,0.000268986278094524,0.968350601140288,"timepoint1"
"145","Diploria labyrinthiformis","Dlab-C3","32",9,-0.000230357300850182,-0.829286283060655,"timepoint1"
"146","Diploria labyrinthiformis","Dlab-C3","341",9,0.000312379872126611,1.1245675396558,"timepoint1"
"147","Diploria labyrinthiformis","Dlab-C3","413",9,0.000338141446102861,1.2173092059703,"timepoint1"
"148","Diploria labyrinthiformis","Dlab-C3","517",9,0.000361773629558233,1.30238506640964,"timepoint1"
"149","Diploria labyrinthiformis","Dlab-C4","0",15,-6.27355093102698e-05,-0.225847833516971,"timepoint1"
"150","Diploria labyrinthiformis","Dlab-C4","124",15,0.00032214767536792,1.15973163132451,"timepoint1"
"151","Diploria labyrinthiformis","Dlab-C4","165",15,0.000342230850901588,1.23203106324572,"timepoint1"
"152","Diploria labyrinthiformis","Dlab-C4","233",15,0.000383017009099423,1.37886123275792,"timepoint1"
"153","Diploria labyrinthiformis","Dlab-C4","289",15,0.00030876184538039,1.11154264336941,"timepoint1"
"154","Diploria labyrinthiformis","Dlab-C4","32",15,9.19798839795914e-05,0.331127582326529,"timepoint1"
"155","Diploria labyrinthiformis","Dlab-C4","341",15,0.000281646940260341,1.01392898493723,"timepoint1"
"156","Diploria labyrinthiformis","Dlab-C4","413",15,0.000248135457183723,0.893287645861405,"timepoint1"
"157","Diploria labyrinthiformis","Dlab-C4","517",15,0.000541689956636449,1.95008384389122,"timepoint1"
"158","Diploria labyrinthiformis","Dlab-C5","0",10,-0.000140188518651567,-0.504678667145642,"timepoint1"
"159","Diploria labyrinthiformis","Dlab-C5","124",10,0.000112422782739821,0.404722017863354,"timepoint1"
"160","Diploria labyrinthiformis","Dlab-C5","165",10,0.000180423788071237,0.649525637056452,"timepoint1"
"161","Diploria labyrinthiformis","Dlab-C5","233",10,0.000225553675715811,0.811993232576921,"timepoint1"
"162","Diploria labyrinthiformis","Dlab-C5","289",10,0.000245413288071779,0.883487837058406,"timepoint1"
"163","Diploria labyrinthiformis","Dlab-C5","32",10,-9.68387001359936e-05,-0.348619320489577,"timepoint1"
"164","Diploria labyrinthiformis","Dlab-C5","341",10,0.000251250769249639,0.9045027692987,"timepoint1"
"165","Diploria labyrinthiformis","Dlab-C5","413",10,0.000271365109445968,0.976914394005485,"timepoint1"
"166","Diploria labyrinthiformis","Dlab-C5","517",10,0.000264588355273847,0.952518078985848,"timepoint1"
"167","Diploria labyrinthiformis","Dlab-C6","0",16,-0.000154080893468671,-0.554691216487214,"timepoint1"
"168","Diploria labyrinthiformis","Dlab-C6","124",16,0.000214624793670927,0.772649257215339,"timepoint1"
"169","Diploria labyrinthiformis","Dlab-C6","165",16,0.000289771616305471,1.0431778186997,"timepoint1"
