Sample Name,Concentration (ng/uL),Sample Volume (uL),Customer Plate Name (if applicable),Customer Plate Well ID (if applicable),colony_id,Temp.Cat,New Sample Name
Mcav-F1,12,25,Plate1,Plate1_E6,Mcav-F1,29,Plate1_E6_Mcav-F1
Dlab-F7,12,25,Plate1,Plate1_F6,Dlab-F7,36,Plate1_F6_Dlab-F7
Mdec-E2,12,25,Plate1,Plate1_G6,Mdec-E2,40,Plate1_G6_Mdec-E2
Mdec-B6,12,25,Plate1,Plate1_H6,Mdec-B6,26,Plate1_H6_Mdec-B6
Mdec-E3,12,25,Plate1,Plate1_A7,Mdec-E3,33,Plate1_A7_Mdec-E3
Mcav-C5,12,25,Plate1,Plate1_B7,Mcav-C5,22,Plate1_B7_Mcav-C5
Mcav-F2,12,25,Plate1,Plate1_C7,Mcav-F2,40,Plate1_C7_Mcav-F2
Mcav-A1,12,25,Plate1,Plate1_D7,Mcav-A1,29,Plate1_D7_Mcav-A1
Mdec-B7,12,25,Plate1,Plate1_E7,Mdec-B7,36,Plate1_E7_Mdec-B7
Dlab-D5,12,25,Plate1,Plate1_F7,Dlab-D5,22,Plate1_F7_Dlab-D5
Mdec-E5,12,25,Plate1,Plate1_G7,Mdec-E5,22,Plate1_G7_Mdec-E5
Dlab-B1,12,25,Plate1,Plate1_H7,Dlab-B1,29,Plate1_H7_Dlab-B1
Dlab-B2,12,25,Plate1,Plate1_A8,Dlab-B2,40,Plate1_A8_Dlab-B2
Dlab-D6,12,25,Plate1,Plate1_B8,Dlab-D6,26,Plate1_B8_Dlab-D6
Mdec-C1,12,25,Plate1,Plate1_C8,Mdec-C1,29,Plate1_C8_Mdec-C1
Mcav-F3,12,25,Plate1,Plate1_D8,Mcav-F3,33,Plate1_D8_Mcav-F3
Mdec-E6,12,25,Plate1,Plate1_E8,Mdec-E6,26,Plate1_E8_Mdec-E6
Mcav-C6,12,25,Plate1,Plate1_F8,Mcav-C6,26,Plate1_F8_Mcav-C6
Mcav-A2,12,25,Plate1,Plate1_G8,Mcav-A2,40,Plate1_G8_Mcav-A2
Dlab-B3,12,25,Plate1,Plate1_H8,Dlab-B3,33,Plate1_H8_Dlab-B3
Dlab-D7,12,25,Plate1,Plate1_A9,Dlab-D7,36,Plate1_A9_Dlab-D7
Mdec-E7,12,25,Plate1,Plate1_B9,Mdec-E7,36,Plate1_B9_Mdec-E7
Mdec-C2,12,25,Plate1,Plate1_C9,Mdec-C2,40,Plate1_C9_Mdec-C2
Mcav-F4,12,25,Plate1,Plate1_D9,Mcav-F4,16,Plate1_D9_Mcav-F4
Dlab-E1,12,25,Plate1,Plate1_E9,Dlab-E1,29,Plate1_E9_Dlab-E1
Mcav-C7,12,25,Plate1,Plate1_F9,Mcav-C7,36,Plate1_F9_Mcav-C7
Dlab-B4,12,25,Plate1,Plate1_G9,Dlab-B4,16,Plate1_G9_Dlab-B4
Mcav-A3,12,25,Plate1,Plate1_H9,Mcav-A3,33,Plate1_H9_Mcav-A3
Mcav-A4,12,25,Plate1,Plate1_A10,Mcav-A4,16,Plate1_A10_Mcav-A4
Mdec-C3,12,25,Plate1,Plate1_B10,Mdec-C3,33,Plate1_B10_Mdec-C3
Mcav-D1,12,25,Plate1,Plate1_C10,Mcav-D1,29,Plate1_C10_Mcav-D1
Dlab-B5,12,25,Plate1,Plate1_D10,Dlab-B5,22,Plate1_D10_Dlab-B5
Mcav-F5,12,25,Plate1,Plate1_E10,Mcav-F5,22,Plate1_E10_Mcav-F5
Mdec-F1,12,25,Plate1,Plate1_F10,Mdec-F1,29,Plate1_F10_Mdec-F1
Mcav-A5,12,25,Plate1,Plate1_G10,Mcav-A5,22,Plate1_G10_Mcav-A5
Dlab-E2,12,25,Plate1,Plate1_H10,Dlab-E2,40,Plate1_H10_Dlab-E2
Mcav-F6,12,25,Plate1,Plate1_A11,Mcav-F6,26,Plate1_A11_Mcav-F6
Mcav-D2,12,25,Plate1,Plate1_B11,Mcav-D2,40,Plate1_B11_Mcav-D2
Mdec-C4,12,25,Plate1,Plate1_C11,Mdec-C4,16,Plate1_C11_Mdec-C4
Mcav-D3,12,25,Plate1,Plate1_D11,Mcav-D3,33,Plate1_D11_Mcav-D3
